Date,IBM,T,NKE,AAPL
12/22/14,161.440002,33.849998,95.93,112.940002
12/19/14,158.509995,33.540001,94.839996,111.779999
12/18/14,157.679993,33.509998,97.080002,112.650002
12/17/14,151.929993,32.669998,94.5,109.410004
12/16/14,151.410004,32.139999,93.209999,106.75
12/15/14,153.059998,32.25,95.43,108.230003
12/12/14,155.380005,32.16,96.169998,109.730003
12/11/14,161.070007,32.709999,96.93,111.620003
12/10/14,160.509995,32.490002,97.660004,111.949997
12/9/14,162.990005,32.889999,97.029999,114.120003
12/8/14,161.860001,33.880001,97.720001,112.400002
12/5/14,163.270004,33.939999,99.330002,115
12/4/14,164.050003,33.91,99.050003,115.489998
12/3/14,164.520004,34,98.5,115.93
12/2/14,162.669998,34.290001,98.040001,114.629997
12/1/14,161.539993,35.060001,97.690002,115.07
11/28/14,162.169998,35.380001,99.290001,118.93
11/26/14,161.949997,35.130001,97.800003,119
11/25/14,161.759995,34.82,97.290001,117.599998
11/24/14,162.149994,34.700001,97.949997,118.629997
11/21/14,160.919998,35.279999,97.419998,116.470001
11/20/14,160.639999,35.279999,97.300003,116.309998
11/19/14,161.429993,35.369999,96.949997,114.669998
11/18/14,161.889999,35.720001,96.470001,115.470001
11/17/14,164.160004,35.849998,96.059998,113.989998
11/14/14,164.160004,35.900002,95.5,114.18
11/13/14,162.789993,35.610001,96.120003,112.82
11/12/14,161.919998,35.400002,95.809998,111.25
11/11/14,163.300003,35.099998,94.879997,109.699997
11/10/14,163.490005,35.119999,94.959999,108.830002
11/7/14,162.070007,34.91,93.779999,109.010002
11/6/14,161.460007,34.720001,94.599998,108.699997
11/5/14,161.820007,34.919998,94.68,108.860001
11/4/14,162.649994,34.790001,93.949997,108.599998
11/3/14,164.360001,34.84,93.449997,109.400002
10/31/14,164.399994,34.84,92.970001,108
10/30/14,164.350006,34.509998,93,106.980003
10/29/14,163.460007,34.400002,91.949997,107.339996
10/28/14,163.600006,34.330002,92.449997,106.739998
10/27/14,161.869995,34.110001,91.639999,105.110001
10/24/14,162.080002,33.869999,90.900002,105.220001
10/23/14,162.179993,33.66,90.370003,104.830002
10/22/14,161.789993,34.5,89.860001,102.989998
10/21/14,163.229996,34.619999,90.639999,102.470001
10/20/14,169.100006,34.279999,88.900002,99.760002
10/17/14,182.050003,34.080002,87.18,97.669998
10/16/14,179.839996,33.639999,87.040001,96.260002
10/15/14,181.75,33.869999,85.18,97.540001
10/14/14,183.800003,33.84,85.089996,98.75
10/13/14,183.520004,33.82,85.389999,99.809998
10/10/14,185.929993,34.25,87.190002,100.730003
10/9/14,186.419998,34.66,87.230003,101.019997
10/8/14,189.360001,35.150002,88.830002,100.800003
10/7/14,185.710007,35.330002,88.07,98.75
10/6/14,189.039993,35.490002,89.220001,99.620003
10/3/14,188.669998,35.360001,90.290001,99.620003
10/2/14,186.910004,34.970001,89.300003,99.900002
10/1/14,187.169998,34.959999,87.699997,99.18
